Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
"Safety and immunogenicity evaluation of recombinant BCG vaccine against respiratory syncytial virus in a randomized, double-blind, placebo-controlled phase I clinical trial","Abarca, K.; Rey-Jurado, E.; MuÃ±oz-Durango, N.; VÃ¡zquez, Y.; Soto, J. A.; GÃ¡lvez, N. M. S.; ValdÃ©s-Ferrada, J.; Iturriaga, C.; UrzÃºa, M.; Borzutzky, A.; Cerda, J.; Villarroel, L.; Madrid, V.; GonzÃ¡lez, P. A.; GonzÃ¡lez-Aramundiz, J. V.; Bueno, S. M.; Kalergis, A. M.","BACKGROUND: Respiratory syncytial virus (RSV) is responsible for most respiratory tract infections and hospitalizations in infants and represents a significant economic burden for public health. The development of a safe, effective, and affordable vaccine is a priority for the WHO. METHODS: We conducted a double-blinded, escalating-dose phase 1 clinical trial in healthy males aged 18-50 years to evaluate safety, tolerability, and immunogenicity of a recombinant Mycobacterium bovis BCG vaccine expressing the nucleoprotein of RSV (rBCG-N-hRSV). Once inclusion criteria were met, volunteers were enrolled in three cohorts in an open and successive design. Each cohort included six volunteers vaccinated with 5Â Ã—Â 10(3), 5Â Ã—Â 10(4), or 1Â Ã—Â 10(5) CFU, as well as two volunteers vaccinated with the full dose of the standard BCG vaccine. This clinical trial (clinicaltrials.gov NCT03213405) was conducted in Santiago, Chile. FINDINGS: The rBCG-N-RSV vaccine was safe, well-tolerated, and no serious adverse events related to the vaccine were recorded. Serum IgG-antibodies directed against Mycobacterium and the N-protein of RSV increased after vaccination, which were capable of neutralizing RSV in vitro. Additionally, all volunteers displayed increased cellular response consisting of IFN-Î³ and IL-2 production against PPD and the N-protein, starting at day 14 and 30 post-vaccination respectively. INTERPRETATION: The rBCG-N-hRSV vaccine had a good safety profile and induced specific cellular and humoral responses. FUNDING: This work was supported by Millennium Institute on Immunology and Immunotherapy from Chile (P09/016), FONDECYT 1190830, and FONDEF D11E1098.",2020,Oct,EClinicalMedicine,27,,100517,33073219,10.1016/j.eclinm.2020.100517,,#18,Abarca 2020,,IDT Biologika; NCT number; Possible RCT; general adults; immunogenicity; males only; product not taken forward to phase 3; viral vector
"A phase 1, randomized, placebo-controlled study to evaluate the safety and immunogenicity of an mRNA-based RSV prefusion F protein vaccine in healthy younger and older adults","Aliprantis, A. O.; Shaw, C. A.; Griffin, P.; Farinola, N.; Railkar, R. A.; Cao, X.; Liu, W.; Sachs, J. R.; Swenson, C. J.; Lee, H.; Cox, K. S.; Spellman, D. S.; Winstead, C. J.; Smolenov, I.; Lai, E.; Zaks, T.; Espeseth, A. S.; Panther, L.","Respiratory Syncytial Virus (RSV) causes lower respiratory tract infections that can be severe and sometimes fatal. The risk for severe RSV infection is highest in infants and older adults. A safe and effective RSV vaccine for older adults represents a serious unmet medical need due to higher morbidity and mortality in this age group. In this randomized, partially double-blind, placebo-controlled, phase 1 dose-escalation study, we evaluated the safety, tolerability and immunogenicity of an investigational messenger ribonucleic acid (mRNA) vaccine encoding the RSV fusion protein (F) stabilized in the prefusion conformation. The study was conducted in healthy younger adults (ages â‰¥18 and â‰¤49Â years) and healthy older adults (ages â‰¥60 and â‰¤79Â years). Participants received mRNA-1777 (V171) or placebo as a single intramuscular dose. For each dose level, three sentinel participants were administered open-label mRNA-1777 (V171). Seventy-two younger adults were randomized and administered 25, 100, or 200Â Âµg mRNA-1777 (V171) or placebo, and 107 older adults were randomized and administered 25, 100, 200 or 300Â Âµg mRNA-1777 (V171) or placebo. Primary objectives were safety and tolerability and secondary objectives included humoral and cell-mediated immunogenicity. All dose levels of mRNA-1777 (V171) were generally well tolerated and no serious adverse events related to the vaccine were reported. Immunization with mRNA-1777 (V171) elicited a humoral immune response as measured by increases in RSV neutralizing antibody titers, serum antibody titers to RSV prefusion F protein, D25 competing antibody titers to RSV prefusion F protein, and cell-mediated immune responses to RSV-F peptides.",2021,May-04,Hum Vaccin Immunother,17,5,1248-1261,33121346,10.1080/21645515.2020.1829899,,#33,Aliprantis 2021,,Merck; No NCT number; Possible RCT; adults; immunogenicity; nucleic acid vaccine; older adults; vaccine
"A Phase 1 Randomized, Double-Blind, Placebo-Controlled Trial to Assess the Safety, Tolerability, and Pharmacokinetics of a Respiratory Syncytial Virus Neutralizing Monoclonal Antibody MK-1654 in Healthy Adults","Aliprantis, A. O.; Wolford, D.; Caro, L.; Maas, B. M.; Ma, H.; Montgomery, D. L.; Sterling, L. M.; Hunt, A.; Cox, K. S.; Vora, K. A.; Roadcap, B. A.; Railkar, R. A.; Lee, A. W.; Stoch, S. A.; Lai, E.","Respiratory syncytial virus (RSV) is the leading cause of acute lower respiratory tract infection and related morbidity and mortality in infants. Passive immunization with an RSV-neutralizing antibody can provide rapid protection to this vulnerable population. Proof-of-concept for this approach has been demonstrated by palivizumab; however, the use of this antibody is generally restricted to the highest-risk infants due to monthly dosing requirements and its cost. To address the large unmet medical need for most infants, we are evaluating MK-1654, a fully human RSV-neutralizing antibody with half-life extending mutations targeting site IV of the fusion protein. In this 2-part, placebo-controlled, double-blind, first-in-human study, 152 healthy adults were randomized 3:1 to receive a single dose of MK-1654 or placebo in 5 cohorts (100 or 300Â mg as an intramuscular dose or 300, 1000, or 3000Â mg as an intravenous dose). Safety, pharmacokinetics, antidrug antibodies, and RSV serum-neutralizing antibody titers were evaluated through 1 year. MK-1654 serum concentrations increased proportionally with dose and resulted in corresponding elevations in RSV serum-neutralizing antibody titers. The antibody displayed a half-life of 73 to 88 days and an estimated bioavailability of 69% at the 300-mg dose. The overall safety profile of MK-1654 was similar to placebo, and treatment-emergent antidrug antibodies were low (2.6%) with no associated adverse events. These data support the continued development of MK-1654 for the prevention of RSV disease in infants.",2021,May,Clin Pharmacol Drug Dev,10,5,556-566,33125189,10.1002/cpdd.883,,#34,Aliprantis 2021,,Merck; No NCT number; Possible RCT; adults; immunogenicity; immunoprophylaxis; monoclonal antibody
"Local and Systemic Immunity against Respiratory Syncytial Virus Induced by a Novel Intranasal Vaccine. A Randomized, Double-Blind, Placebo-controlled Clinical Trial","Ascough, S.; Vlachantoni, I.; Kalyan, M.; Haijema, B. J.; Wallin-Weber, S.; Dijkstra-Tiekstra, M.; Ahmed, M. S.; van Roosmalen, M.; Grimaldi, R.; Zhang, Q.; Leenhouts, K.; Openshaw, P. J.; Chiu, C.","Rationale: Needle-free intranasal vaccines offer major potential advantages, especially against pathogens entering via mucosal surfaces. As yet, there is no effective vaccine against respiratory syncytial virus (RSV), a ubiquitous pathogen of global importance that preferentially infects respiratory epithelial cells; new strategies are urgently required.Objectives: Here, we report the safety and immunogenicity of a novel mucosal RSV F protein vaccine linked to an immunostimulatory bacterium-like particle (BLP).Methods: In this phase I, randomized, double-blind, placebo-controlled trial, 48 healthy volunteers, aged 18-49 years, were randomly assigned to receive placebo or SynGEM (low or high dose) intranasally by prime-boost administration. The primary outcome was safety and tolerability, with secondary objectives assessing virus-specific immunogenicity.Measurements and Main Results: There were no significant differences in adverse events between placebo and vaccinated groups. SynGEM induced systemic plasmablast responses and significant, durable increases in RSV-specific serum antibody in healthy, seropositive adults. Volunteers given low-dose SynGEM (140 Î¼g F, 2 mg BLP) required a boost at Day 28 to achieve plateau responses with a maximum fold change of 2.4, whereas high-dose recipients (350 Î¼g F, 5 mg BLP) achieved plateau responses with a fold change of 1.5 after first vaccination that remained elevated up to 180 days after vaccination, irrespective of further boosting. Palivizumab-like antibodies were consistently induced, but F protein site âˆ…-specific antibodies were not detected, and virus-specific nasal IgA responses were heterogeneous, with the strongest responses in individuals with lower pre-existing antibody levels.Conclusions: SynGEM is thus the first nonreplicating intranasal RSV subunit vaccine to induce persistent antibody responses in human volunteers.Clinical trials registered with www.clinicaltrials.gov (NCT02958540).",2019,Aug-15,Am J Respir Crit Care Med,200,4,481-492,30753101,10.1164/rccm.201810-1921OC,,#66,Ascough 2019,Ainslie Hie (2024-11-26 13:51:30)(Included): extracted; ,Mucosis; NCT number; Possible RCT; general adults; immunogenicity; product not taken forward to phase 3; protein subunit
Safety and Immunogenicity of Bivalent RSVpreF Vaccine Coadministered With Seasonal Inactivated Influenza Vaccine in Older Adults,"Athan, E.; Baber, J.; Quan, K.; Scott, R. J.; Jaques, A.; Jiang, Q.; Li, W.; Cooper, D.; Cutler, M. W.; Kalinina, E. V.; Anderson, A. S.; Swanson, K. A.; Gruber, W. C.; Gurtman, A.; Schmoele-Thoma, B.","BACKGROUND: Respiratory syncytial virus (RSV) and influenza are both typically seasonal diseases, with winter peaks in temperate climates. Coadministration of an RSV vaccine and influenza vaccine could be a benefit, requiring 1 rather than 2 visits to a healthcare provider for individuals receiving both vaccines. METHODS: The primary immunogenicity objective of this phase 3, 1:1 randomized, double-blind, placebo-controlled study in healthy adults aged â‰¥65 years in Australia was to demonstrate noninferiority of immune responses with coadministration of the stabilized RSV prefusion F protein-based vaccine (RSVpreF) and seasonal inactivated influenza vaccine (SIIV) versus SIIV or RSVpreF administered alone, using a 1.5-fold noninferiority margin (lower bound 95% confidence interval >.667). Safety and tolerability were evaluated by collecting reactogenicity and adverse event data. RESULTS: Of 1403 participants randomized, 1399 received vaccinations (median age, 70; range, 65â€’91 years). Local reactions and systemic events were mostly mild or moderate when RSVpreF was coadministered with SIIV or administered alone. No vaccine-related serious adverse events were reported. Geometric mean ratios were 0.86 for RSV-A and 0.85 for RSV-B neutralizing titers at 1 month after RSVpreF administration and 0.77 to 0.90 for strain-specific hemagglutination inhibition assay titers at 1 month after SIIV. All comparisons achieved the prespecified 1.5-fold noninferiority margin. CONCLUSIONS: The primary study objectives were met, demonstrating noninferiority of RSVpreF and SIIV immune responses when RSVpreF was coadministered with SIIV and that RSVpreF had an acceptable safety and tolerability profile when coadministered with SIIV. The results of this study support coadministration of RSVpreF and SIIV in an older-adult population. CLINICAL TRIALS REGISTRATION: https://clinicaltrials.gov/study/NCT05301322.",2024,May-15,Clin Infect Dis,78,5,1360-1368,37992000,10.1093/cid/ciad707,,#67,Athan 2024,Ainslie Hie (2025-03-11 14:47:15)(Included): extracted; ,NCT number; Pfizer; Possible RCT; formulation taken forward to phase 3; immunogenicity; older adults; product taken forward to phase 3; protein subunit
"A Phase 2 randomized, observer-blind, placebo-controlled, dose-ranging trial of aluminum-adjuvanted respiratory syncytial virus F particle vaccine formulations in healthy women of childbearing age","August, A.; Glenn, G. M.; Kpamegan, E.; Hickman, S. P.; Jani, D.; Lu, H.; Thomas, D. N.; Wen, J.; Piedra, P. A.; Fries, L. F.","OBJECTIVE: Respiratory syncytial virus (RSV) causes significant morbidity and mortality in infants. We are developing an RSV fusion (F) protein nanoparticle vaccine for immunization of third trimester pregnant women to passively protect infants through transfer of RSV-specific maternal antibodies. The present trial was performed to assess the immunogenicity and safety of several formulations of RSV F vaccine in 1-dose or 2-dose schedules. METHODS: Placebo, or vaccine with 60Î¼g or 120Î¼g RSV F protein and 0.2, 0.4, or 0.8mg aluminum, were administered intramuscularly on Days 0 and 28 to healthy women 18-35years old. Immunogenicity was assessed from Days 0 through 91 based on anti-F IgG and palivizumab-competitive antibody (PCA) by ELISA, and RSV A and B neutralizing antibodies by microneutralization (MN) assay. Solicited adverse events were collected through Day 7 and unsolicited adverse events through Day 91. RESULTS: All formulations were well-tolerated, with no treatment-related serious adverse events. Anti-F IgG and PCA responses were correlated and increased after both doses, while MN increased significantly only after the first dose, then plateaued. The timeliest and most robust antibody responses followed one dose of 120Î¼g RSV F protein and 0.4mg aluminum, but persistence through 91days was modestly (âˆ¼25%) superior following two doses of 60Î¼g RSV F protein and 0.8mg aluminum. Western blot analysis showed RSV infections in active vaccinees were reduced by 52% overall (p=0.009 overall) over the Day 0 through 90 period. CONCLUSIONS: RSV F nanoparticle vaccine formulations were well tolerated and immunogenic. The optimal combination of convenience and rapid response for immunization in the third trimester occurred with 120Î¼g RSV F and 0.4mg aluminum, which achieved peak immune responses in 14days and sufficient persistence through 91days to allow for passive transfer of IgG antibodies to the fetus. NCT01960686.",2017,Jun-27,Vaccine,35,30,3749-3759,28579233,10.1016/j.vaccine.2017.05.045,,#71,Aug-17,,NCT number; Novavax; Possible RCT; females only; formulation taken forward to phase 3; general adults; immunogenicity; product taken forward to phase 3; protein subunit
A Phase 1/2 Study of a Respiratory Syncytial Virus Prefusion F Vaccine With and Without Adjuvant in Healthy Older Adults,"Baber, J.; Arya, M.; Moodley, Y.; Jaques, A.; Jiang, Q.; Swanson, K. A.; Cooper, D.; Maddur, M. S.; Loschko, J.; Gurtman, A.; Jansen, K. U.; Gruber, W. C.; Dormitzer, P. R.; Schmoele-Thoma, B.","BACKGROUND: Respiratory syncytial virus (RSV) is an important cause of disease in older adults. We evaluated the safety and immunogenicity of a stabilized RSV prefusion F subunit (RSVpreF) vaccine candidate with/without adjuvant in adults aged 65-85 years. METHODS: Primary cohort participants were equally randomized to 1 of 7 RSVpreF formulations: 60â€…Âµg with either Al(OH)3 or CpG/Al(OH)3, 120â€…Âµg with either Al(OH)3 or CpG/Al(OH)3, 240â€…Âµg with either Al(OH)3 or CpG/Al(OH)3, 240â€…Âµg unadjuvanted, or placebo, administered concomitantly with high-dose seasonal inactivated influenza vaccine (SIIV). Participants in the month 0,2 cohort were randomized to RSVpreF 240â€…Âµg with CpG/Al(OH)3 or placebo, administered at months 0 and 2. RESULTS: All RSVpreF vaccine candidates elicited robust and persistent serum neutralizing responses when administered alone or with SIIV. There was no notable difference in neutralizing response between the formulations, including those containing CpG. In the month 0,2 cohort, there was no booster effect of dose 2. SIIV responses were similar or slightly lower with concomitant administration of RSVpreF. Most systemic and local reactions were mild and more frequent after RSVpreF than placebo. CONCLUSIONS: RSVpreF formulations were well tolerated and elicited robust neutralizing responses in older adults; however, CpG/Al(OH)3 did not further enhance responses. Clinical Trials Registration.â€ƒNCT03572062.",2022,Dec-13,J Infect Dis,226,12,2054-2063,35543281,10.1093/infdis/jiac189,,#76,Baber 2022,,NCT number; Pfizer; Possible RCT; immunogenicity; older adults; product taken forward to phase 3; protein subunit
Equivalent immunogenicity across three RSVpreF vaccine lots in healthy adults 18-49 years of age: Results of a randomized phase 3 study,"Baker, J.; Aliabadi, N.; Munjal, I.; Jiang, Q.; Feng, Y.; Brock, L. G.; Cooper, D.; Anderson, A. S.; Swanson, K. A.; Gruber, W. C.; Gurtman, A.","BACKGROUND: Bivalent RSV prefusion F subunit vaccine (RSVpreF), comprised of equal quantities of stabilized prefusion F antigens from the major circulating subgroups (RSV A, RSV B), is licensed for prevention of RSV-associated lower respiratory tract illness (LRTI) in older adults and for maternal vaccination for prevention of RSV-associated LRTI in infants. To support licensure and large-scale manufacturing, this lot consistency study was conducted to demonstrate equivalence in immunogenicity across 3 RSVpreF lots. METHODS: This phase 3, multicenter, parallel-group, placebo-controlled, randomized (1:1:1:1), double-blind study evaluated immunogenicity, safety, and tolerability of RSVpreF in healthy 18-49-year-old adults. Participants received a single 120-Âµg injection of 1 of 3RSVpreF lots or placebo. Geometric mean ratio (GMR) of RSV serum 50Â % neutralizing geometric mean titers obtained 1Â month after vaccination were compared between each vaccine lot for RSV A and RSV B, separately. Equivalence between lots was defined using a 1.5-fold criterion (GMR 95Â % CIs for every lot pair within the 0.667-1.5 interval). Safety and tolerability were assessed. RESULTS: Of 992participants vaccinated, 948 were included in the evaluable immunogenicity population. All 3 RSVpreF lots elicited strong immune responses, meeting the 1.5-fold equivalence criterion for all between-lot comparisons for both RSV A and RSV B. Across the 3 lots, RSV A and RSV B 50Â % neutralizing geometric mean titers substantially increased from baseline (RSV A, 1671-1795; RSV B 1358-1429) to 1Â month after RSVpreF vaccination (RSV A, 24,131-25,238; RSV B, 19,238-21,702), corresponding to â‰¥14-fold increases in 50Â % neutralizing titers for both RSV A and RSV B from before to 1Â month after vaccination. Single doses of RSVpreF were safe and well tolerated, with similar safety profiles across the 3 RSVpreF lots. CONCLUSIONS: These findings support the reproducibility of RSVpreF vaccine manufacturing with similar safety and reactogenicity profiles (NCT05096208).",2024,May-10,Vaccine,42,13,3172-3179,38616438,10.1016/j.vaccine.2024.03.070,,#80,Baker 2024,Ainslie Hie (2025-03-11 11:06:56)(Included): extracted; ,NCT number; Pfizer; Possible RCT; formulation taken forward to phase 3; general adults; immunogenicity; product taken forward to phase 3; protein subunit
Vaccine-induced antibody Fc-effector functions in humans immunized with a combination Ad26.RSV.preF/RSV preF protein vaccine,"Bartsch, Y. C.; Cizmeci, D.; Yuan, D.; Mehta, N.; Tolboom, J.; De Paepe, E.; van Heesbeen, R.; Sadoff, J.; Comeaux, C. A.; Heijnen, E.; Callendret, B.; Alter, G.; Bastian, A. R.","Respiratory syncytial virus (RSV) can cause serious illness in older adults (i.e., those aged â‰¥60 years). Because options for RSV prophylaxis and treatment are limited, the prevention of RSV-mediated illness in older adults remains an important unmet medical need. Data from prior studies suggest that Fc-effector functions are important for protection against RSV infection. In this work, we show that the investigational Ad26.RSV.preF/RSV preF protein vaccine induced Fc-effector functional immune responses in adults aged â‰¥60 years who were enrolled in a phase 1/2a regimen selection study of Ad26.RSV.preF/RSV preF protein. These results demonstrate the breadth of the immune responses induced by the Ad26.RSV.preF/RSV preF protein vaccine.",2023,Nov-30,J Virol,97,11,e0077123,37902399,10.1128/jvi.00771-23,,#96,Bartsch 2023,,Janssen; No NCT number; Not RCT; adults; immunogenicity; recombinant vector vaccine; vaccine
Safety and Immunogenicity of an Investigational Respiratory Syncytial Virus Vaccine (RSVPreF3) in Mothers and Their Infants: A Phase 2 Randomized Trial,"Bebia, Z.; Reyes, O.; Jeanfreau, R.; Kantele, A.; De Leon, R. G.; SÃ¡nchez, M. G.; Banooni, P.; Gardener, G. J.; Rasero, J. L. B.; Pardilla, M. B. E.; Langley, J. M.; Di Leo, C. M.; Botelho-Nevers, E.; Buttery, J.; Laurichesse, H.; Madhi, S. A.; GarcÃ­a, A. M.; Stanley, T.; Barjat, T.; Griffith, R.; CastrejÃ³n-Alba, M. M.; de Heusch, M.; Dieussaert, I.; Hercor, M.; Lese, P.; Qian, H.; Tullio, A. N.; Henry, O.","BACKGROUND: In a phase 1/2 study, a maternal respiratory syncytial virus vaccine candidate (RSVPreF3) demonstrated an acceptable safety profile and efficiently increased RSV-specific humoral immune responses in non-pregnant women. METHODS: In this phase 2 observer-blind, placebo-controlled, randomized clinical trial (NCT04126213), the safety of RSVPreF3 (60 or 120 Âµg), administered during late second or third trimester, was evaluated in 213 18- to 40-year-old healthy pregnant women through 6 months postdelivery and their offspring through infancy; immunogenicity was evaluated through day 43 postdelivery and day 181 postbirth, respectively. RESULTS: RSVPreF3 was well tolerated. No pregnancy-related or neonatal adverse events of special interest were considered vaccine/placebo related. In the 60 and 120 Âµg RSVPreF3 groups: (1) neutralizing antibody (nAb) titers in mothers increased 12.7- and 14.9-fold against RSV-A and 10.6- and 13.2-fold against RSV-B, respectively, 1 month postvaccination and remained 8.9-10.0-fold over prevaccination at day 43 postdelivery; (2) nAb titers were consistently higher compared to placebo recipients; (3) placental transfer ratios for anti-RSVPreF3 antibodies at birth were 1.62 and 1.90, respectively, and (4) nAb levels in infants were highest at birth and declined through day 181 postbirth. CONCLUSIONS: RSVPreF3 maternal vaccination had an acceptable safety risk profile and induced robust RSV-specific immune responses with successful antibody transfer to their newborns. CLINICAL TRIALS REGISTRATION: NCT04126213.WHAT IS THE CONTEXT? Infants, especially those less than 6 months of age, are at increased risk of lung infection caused by respiratory syncytial virus (RSV). However, this risk could be reduced with maternal vaccination against RSV during pregnancy. A previous clinical trial found that a vaccine candidate (named RSVPreF3) was well tolerated when given to non-pregnant women. WHAT IS NEW? In pregnant women, RSVPreF3 was also well tolerated. Occurrence of unsolicited adverse events was similar between vaccine and placebo recipients. None of the serious adverse events or events of interest for pregnant women or newborns were considered related to the study intervention. One month after vaccination, mothers who received RSVPreF3 had 11â€“15 times higher levels of antibodies against RSV than before vaccination. These antibody levels remained similar until 43 days after delivery. In the infants born to mothers vaccinated during pregnancy with RSVPreF3, antibody levels were highest at birth, when levels were higher than in their mothers, and declined through day 181 postbirth. WHAT IS THE IMPACT? RSVPreF3 had an acceptable safety risk profile in pregnant women and their babies. This vaccine induced potent immune responses against RSV, with maternal antibodies transferred to infants of the vaccinated mothers.eng",2023,Aug-11,J Infect Dis,228,3,299-310,36722147,10.1093/infdis/jiad024,,#108,Bebia 2023,,GSK; NCT number; Possible RCT; females only; formulation taken forward to phase 3; immunogenicity; maternal; product taken forward to phase 3; protein subunit; under 1 year
